Date,Open,High,Low,Close,Adj Close,Volume
2024-01-31,1495.0,1500.0,1460.0,1475.0,1475.0,22227400
2024-02-01,1470.0,1475.0,1430.0,1430.0,1430.0,13504000
2024-02-02,1430.0,1455.0,1385.0,1410.0,1410.0,27833500
2024-02-05,1420.0,1490.0,1415.0,1490.0,1490.0,29681500
2024-02-06,1495.0,1520.0,1435.0,1455.0,1455.0,31230200
2024-02-07,1455.0,1465.0,1425.0,1460.0,1460.0,11862000
2024-02-12,1465.0,1500.0,1440.0,1480.0,1480.0,23205000
2024-02-13,1480.0,1495.0,1450.0,1480.0,1480.0,17103300
2024-02-15,1505.0,1595.0,1495.0,1530.0,1530.0,91698800
2024-02-16,1530.0,1545.0,1395.0,1420.0,1420.0,92386900
2024-02-19,1420.0,1430.0,1380.0,1410.0,1410.0,36991600
2024-02-20,1420.0,1465.0,1400.0,1445.0,1445.0,48402300
2024-02-21,1450.0,1485.0,1435.0,1455.0,1455.0,34217500
2024-02-22,1455.0,1475.0,1440.0,1455.0,1455.0,14721700
2024-02-23,1460.0,1485.0,1440.0,1470.0,1470.0,22860800
2024-02-26,1470.0,1515.0,1460.0,1515.0,1515.0,28285000
2024-02-27,1515.0,1535.0,1490.0,1525.0,1525.0,26991500
2024-02-28,1525.0,1575.0,1505.0,1555.0,1555.0,43323400
2024-02-29,1555.0,1555.0,1535.0,1550.0,1550.0,15482700
2024-03-01,1600.0,1600.0,1480.0,1490.0,1490.0,43102000
